source_city,destination_city,km,fuel,toll
Aves,Lisbon,301.54,22.27,1.43
Lisbon,Sintra,24.21,2.53,1.16
Lisbon,Vila Nova de Gaia,272.43,21.82,2.53
Lisbon,Porto,274.29,15.26,2.81
Cascais,Lisbon,25.08,2.16,1.48
Lisbon,Loures,13.51,1.54,4.62
Lisbon,Seixal,8.08,0.89,0.86
Braga,Lisbon,320.95,37.26,4.41
Almada,Lisbon,4.12,0.49,1.35
Lisbon,Matosinhos,277.42,38.94,3.8
Lisbon,Oeiras,14.68,1.87,2.43
Amadora,Lisbon,9.6,1.02,4.35
Gondomar,Lisbon,275.5,30.39,4.12
Guimarães,Lisbon,311.84,17.35,3.28
Lisbon,Odivelas,10.65,1.33,0.44
Coimbra,Lisbon,177.13,9.87,3.13
Lisbon,Vila Franca de Xira,29.46,3.82,2.24
Lisbon,Maia,283.39,29.81,3.83
Famalicão,Lisbon,304.54,31.07,2.05
Leiria,Lisbon,117.88,11.97,2.13
Barcelos,Lisbon,316.33,19.14,1.18
Funchal,Lisbon,973.32,109.19,1.78
Lisbon,Viseu,240.0,35.47,4.53
Lisbon,Valongo,279.67,31.72,2.18
Lisbon,Viana do Castelo,332.75,29.26,4.96
Lisbon,Paredes,284.57,15.0,2.39
Lisbon,Vila do Conde,294.72,15.84,0.91
Lisbon,Torres Vedras,42.78,4.85,4.76
Aveiro,Lisbon,217.82,21.45,2.42
Barreiro,Lisbon,7.64,1.01,1.15
Lisbon,Queluz,11.58,1.17,2.64
Lisbon,Mafra,30.03,3.68,4.23
Lisbon,Penafiel,285.63,23.88,4.34
Lisbon,Santo Tirso,297.38,38.06,0.25
Lisbon,Loulé,199.57,20.95,2.54
Lisbon,Ponta Delgada,1449.97,187.94,0.61
Lisbon,Moita,14.82,1.68,2.66
Faro,Lisbon,215.8,14.18,0.65
Lisbon,Póvoa de Varzim,298.22,15.89,2.58
Lisbon,Palmela,26.01,1.54,0.4
Lisbon,Santarém,69.8,4.71,1.99
Figueira da Foz,Lisbon,161.43,19.63,0.97
Lisbon,Portimão,183.03,26.71,1.85
Felgueiras,Lisbon,305.33,37.27,0.71
Lisbon,Paços de Ferreira,292.59,16.78,0.64
Amarante,Lisbon,298.15,35.84,3.05
Castelo Branco,Lisbon,187.76,26.16,0.17
Lisbon,Ovar,242.39,27.41,0.83
Lisbon,Pombal,140.6,20.36,0.86
Alcobaça,Lisbon,94.23,9.52,0.7
Lisbon,Évora,108.64,9.95,0.44
Lisbon,Marco de Canavezes,286.97,31.83,2.75
Lisbon,Vila Real,310.32,44.5,3.52
Covilhã,Lisbon,224.0,15.33,3.28
Caldas da Rainha,Lisbon,77.12,5.91,1.15
Lisbon,Montijo,13.79,1.11,3.43
Lisbon,Rio Tinto,278.62,20.31,2.28
Fafe,Lisbon,314.99,43.26,2.39
Lisbon,Sesimbra,29.96,2.79,2.71
Amora,Lisbon,9.6,1.36,1.79
Lisbon,Vila Verde,331.39,25.38,0.35
Lisbon,Águeda,214.99,19.88,1.16
Lisbon,Vale de Cavalos,7.04,0.77,0.82
Lisbon,Lousada,294.57,24.66,2.1
